Record,custid,SUBSCRIBE,Disc,Title,LastOrder,Pcode,DA_Income,DA_Under20,DA_Over60,DA_Single,NumDeliv,NumMeals,MealsPerDeliv,Healthy,Veggie,Meaty,Special,TotPurch,Weeks3Meals,Sample
1,1309346,NA,Senior,Mr,1/26/2018,B0V 2H9,57.5,137,105,27,23,46,2,9,26,10,1,481.9131622,NA,Holdout
2,2871764,NA,NA,NA,1/27/2018,J6R 3P0,73.7,65,186,17,14,14,1,2,1,0,11,175.9909335,NA,Holdout
3,3150558,N,NA,Mr,1/15/2018,L9N 0L2,53.3,313,176,3,10,10,1,6,1,0,3,117.9338245,NA,Validation
4,3013411,NA,Senior,Mrs,2/14/2018,B1K 1E1,101.9,236,98,39,47,47,1,2,10,31,4,599.8948137,1,Holdout
5,2600646,N,NA,NA,12/18/2017,L3V 1R5,76.6,196,80,34,10,20,2,12,1,7,0,235.5387378,NA,Validation
6,2688939,N,NA,NA,1/10/2018,G0S 1C4,53.6,248,177,50,19,38,2,30,0,5,3,505.5447783,NA,Estimation
7,1257481,N,Senior,NA,1/21/2018,T1L 2L5,79.7,203,97,28,34,68,2,3,0,64,1,698.1855722,NA,Estimation
8,2488195,N,NA,NA,2/7/2018,T1P 0G1,84.8,108,240,72,27,54,2,34,9,1,10,657.4308035,NA,Validation
9,1995616,NA,NA,Mr,1/14/2018,V1R 2A4,81.5,51,257,51,30,60,2,9,17,17,17,656.6443526,1,Holdout
10,1306166,NA,NA,Mr,12/7/2017,B1K 2R,63.9,185,223,43,17,51,3,28,5,5,13,705.900805,NA,Holdout
11,1219043,Y,NA,Mrs,2/24/2018,J0M 0C,100.2,178,101,19,50,100,2,9,0,7,84,1256.217097,5,Estimation
12,3103284,N,NA,Mr,1/3/2018,J0E 1H,77.8,125,97,32,20,60,3,4,29,20,7,835.2651953,NA,Validation
13,2148328,NA,NA,NA,2/18/2018,H7X 3L,57.6,229,147,12,25,50,2,12,2,29,7,599.6333512,NA,Holdout
14,2052620,N,Student,Mr,1/6/2018,M8V 2J,25.7,177,155,29,20,20,1,13,2,4,1,257.9054047,NA,Validation
15,2838135,N,Senior,Mr,2/18/2018,E5M 3X,92.5,257,142,45,15,30,2,24,2,1,3,337.5724294,NA,Validation
16,1451760,NA,NA,Mr,2/21/2018,E4T 0H,69.1,290,144,66,35,70,2,2,3,21,44,825.3536577,0,Holdout
17,1814758,NA,NA,NA,1/25/2018,H3J 1L,69.7,156,124,36,30,60,2,28,3,19,10,672.4974025,NA,Holdout
18,2725645,N,Senior,NA,11/13/2017,G6G 0C,88.9,138,244,68,7,14,2,1,0,8,5,167.4355034,NA,Estimation
19,2748637,NA,Senior,Mr,2/19/2018,E2A 1T,86.4,210,124,72,25,25,1,11,0,3,11,290.9812248,NA,Holdout
20,3156128,NA,NA,Ms,12/29/2017,E5T 3G,81.9,299,162,60,14,42,3,37,4,0,1,516.7852871,NA,Holdout
21,2555141,N,NA,Ms,3/1/2018,K9V 2C1,88.4,78,132,41,19,38,2,32,2,0,4,503.1062192,NA,Validation
22,2798497,Y,NA,Mr,2/15/2018,B1G 3Z9,85.6,141,116,59,41,41,1,2,4,5,30,479.4210005,0,Validation
23,1802182,N,Senior,Mrs,1/21/2018,T4L 0G4,71.5,149,122,6,22,22,1,10,1,10,1,292.3292929,NA,Validation
